model,rep,condition,mode,step,elapsed_s,prompt_sha256,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,campaign,prompt_tokens,generation_tokens,generation_tps,ttft_s
cloud,0,combined,one_shot,0,22.70859366701916,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,445,77,rerun_20260911,,,,
cloud,0,combined,agentic,0,5.654994833981618,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,0,combined,agentic,1,6.144883833010681,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,0,combined,agentic,2,6.089896499994211,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud,0,combined,agentic,3,5.382159165979829,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,31,15,rerun_20260911,,,,
cloud,0,combined,agentic,4,18.05986199999461,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,426,71,rerun_20260911,,,,
cloud,0,quiet,one_shot,0,19.70144908304792,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,427,66,rerun_20260911,,,,
cloud,0,quiet,agentic,0,4.75374983396614,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,0,quiet,agentic,1,5.089321750041563,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,0,quiet,agentic,2,6.510120375023689,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,44,28,rerun_20260911,,,,
cloud,0,quiet,agentic,3,6.669134041003417,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,33,17,rerun_20260911,,,,
cloud,0,quiet,agentic,4,19.61987054196652,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,472,115,rerun_20260911,,,,
cloud,1,combined,one_shot,0,19.837826874980237,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,490,117,rerun_20260911,,,,
cloud,1,combined,agentic,0,4.317778291006107,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,1,combined,agentic,1,4.454067041981034,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,1,combined,agentic,2,6.344687416974921,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud,1,combined,agentic,3,4.748962291050702,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,6400,0,30,14,rerun_20260911,,,,
cloud,1,combined,agentic,4,16.91712150000967,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,444,81,rerun_20260911,,,,
cloud,1,quiet,one_shot,0,18.91529387497576,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,484,122,rerun_20260911,,,,
