all_tokens_per_s_e2e,all_tokens_per_s_e2e_q25,all_tokens_per_s_e2e_q75,context_length,decode_device,decode_energy_net_psys_j,decode_energy_net_psys_j_q25,decode_energy_net_psys_j_q75,decode_ms,decode_ms_q25,decode_ms_q75,decode_tokens_per_s,decode_tokens_per_s_q25,decode_tokens_per_s_q75,e2e_speedup_vs_gpu,end_to_end_ms,end_to_end_ms_q25,end_to_end_ms_q75,energy_net_psys_j,energy_net_psys_j_q25,energy_net_psys_j_q75,energy_reduction_vs_gpu,family,fastest_e2e,handoff_plus_first_decode_ms,handoff_plus_first_decode_ms_q25,handoff_plus_first_decode_ms_q75,internal_overhead_ms,lowest_energy,mode,model,model_label,output_tokens_per_s_e2e,output_tokens_per_s_e2e_q25,output_tokens_per_s_e2e_q75,precision,prefill_device,prefill_energy_net_psys_j,prefill_energy_net_psys_j_q25,prefill_energy_net_psys_j_q75,prefill_tokens_per_s,prefill_tokens_per_s_q25,prefill_tokens_per_s_q75,repeats,route,route_label,size_b,steady_tpot_ms,steady_tpot_ms_q25,steady_tpot_ms_q75,steady_tpot_p95_ms,steady_tpot_p95_ms_q25,steady_tpot_p95_ms_q75,ttft_ms,ttft_ms_q25,ttft_ms_q75
1117.1855798031909,1114.0732308315107,1144.2009980973457,1024,iGPU,19.09353604290219,18.921476723457403,19.34067183622711,590.698593,584.248521,592.486995,25.393661298258756,25.317242057478495,25.67713548203487,1.0,916.588988,895.4468365,919.1568055,28.611885485606145,28.54256725633332,28.867325691640882,0.0,Llama 3.2,False,50.954615000000004,50.2046335,53.7457075,0.0,False,measured,llama32_1b,Llama 3.2 1B,17.456024684424857,17.407394231742355,17.878140595271027,FP16,iGPU,9.723831623047879,9.373954739550998,9.876530738910652,3093.0644642042917,3085.7021551973376,3246.32784786788,3,gpu_full,Whole iGPU,1.0,38.1771325,37.48788975,38.18753075,40.4363914,39.8993059,41.703343125,325.890395,311.19831550000004,326.66981050000004
1133.0161703149465,1114.7663699395462,1134.681773421482,1024,NPU,13.75570453476419,13.677862802578328,14.47559927302596,577.89194,575.787804,607.6260605,25.956409774464063,24.74549161705678,26.05161174600982,1.0141700634146606,903.782335,902.4576145000001,918.824376,23.784934389537618,23.55439354148898,24.002253128439733,0.16870440427621713,Llama 3.2,True,44.62128,43.1801255,75.318545,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,17.70337766117104,17.41822453030541,17.729402709710655,FP16,iGPU,9.723831623047879,9.373954739550998,9.876530738910652,3093.0644642042917,3085.7021551973376,3246.32784786788,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,1.0,37.889624,37.802927249999996,37.9378635,38.696261199999995,38.664764500000004,38.79098082499999,325.890395,311.19831550000004,326.66981050000004
1077.6967072361065,1046.4246938431431,1078.6846574108404,1024,NPU,13.75570453476419,13.677862802578328,14.47559927302596,577.89194,575.787804,607.6260605,25.956409774464063,24.74549161705678,26.05161174600982,0.9646532561098391,950.174565,949.3051115000001,979.4449125,20.752796211965624,20.599269091711488,21.559474802474096,0.2746791810555167,Llama 3.2,False,44.62128,43.1801255,75.318545,0.0,True,measured,llama32_1b,Llama 3.2 1B,16.839011050564164,16.35038584129911,16.85444777204438,FP16,NPU,6.9970916772014355,6.92140628913316,7.083875529448138,2707.6203193742926,2698.6996157778267,2711.0017762854477,3,npu_full,Whole NPU,1.0,37.889624,37.802927249999996,37.9378635,38.696261199999995,38.664764500000004,38.79098082499999,372.282625,371.818852,373.5173075
1063.3644570210092,1060.0470682134303,1071.1102397816169,1024,iGPU,19.09353604290219,18.921476723457403,19.34067183622711,590.698593,584.248521,592.486995,25.393661298258756,25.317242057478495,25.67713548203487,0.9518243667344299,962.9812179999999,956.067373,966.0043025,26.090627720103626,25.842883012590566,26.424547365675245,0.0881192456460409,Llama 3.2,False,50.954615000000004,50.2046335,53.7457075,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,16.61506964095327,16.56323544083485,16.736097496587764,FP16,NPU,6.9970916772014355,6.92140628913316,7.083875529448138,2707.6203193742926,2698.6996157778267,2711.0017762854477,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0,38.1771325,37.48788975,38.18753075,40.4363914,39.8993059,41.703343125,372.282625,371.818852,373.5173075
1602.153789107206,1597.1643671835286,1617.1145189628223,2048,iGPU,18.42189832826378,18.275119704201217,18.813685508001164,610.622524,600.119001,611.4014599999998,24.565094490356536,24.533837957858978,25.002701786304478,1.0,1278.279285,1266.5616934999998,1282.2850475,38.90379185876414,38.74473017794784,38.95703506467657,0.0,Llama 3.2,True,52.48689,51.409315,55.5279295,0.0,False,measured,llama32_1b,Llama 3.2 1B,12.516826477400047,12.477846618621317,12.63370717939705,FP16,iGPU,20.457327416992882,20.131066499921666,20.46961047374662,3007.3928910139794,2979.017189348549,3084.6165916339287,3,gpu_full,Whole iGPU,1.0,39.0188285,38.6505935,39.2626815,42.16395955,40.912344225,42.25459372500001,675.668286,659.165996,682.1660465
1555.6821321400246,1551.7723135928798,1560.1320415100581,2048,NPU,15.340560637135509,15.200304160594403,15.76908324320458,634.451138,633.8793544999999,654.1258695,23.642482614634385,22.952130755722422,23.663828295749074,0.9709942595504033,1316.4643070000002,1312.720082,1319.789626,35.82245416763587,35.669914634341026,35.91243279987999,0.07920404525899993,Llama 3.2,False,74.54955100000001,74.254223,93.40781150000001,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,12.153766657343942,12.123221199944373,12.188531574297329,FP16,iGPU,20.457327416992882,20.131066499921666,20.46961047374662,3007.3928910139794,2979.017189348549,3084.6165916339287,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,1.0,39.836130999999995,39.81991425,39.872106249999995,40.625068549999995,40.58012035,41.282516625,675.668286,659.165996,682.1660465
1531.1883031532643,1508.7322739625747,1532.67320298768,2048,NPU,15.340560637135509,15.200304160594403,15.76908324320458,634.451138,633.8793544999999,654.1258695,23.642482614634385,22.952130755722422,23.663828295749074,0.9557061959741787,1337.523279,1336.2287004999998,1357.7318115,31.684558524914166,31.212141183883652,31.86194934984863,0.18556631600484064,Llama 3.2,False,74.54955100000001,74.254223,93.40781150000001,0.0,True,measured,llama32_1b,Llama 3.2 1B,11.962408618384877,11.786970890332615,11.97400939834125,FP16,NPU,15.841734325509437,15.760705242154641,16.092866106644045,2890.172830784942,2887.981820885866,2893.150201678689,3,npu_full,Whole NPU,1.0,39.836130999999995,39.81991425,39.872106249999995,40.625068549999995,40.58012035,41.282516625,703.072141,702.349346,703.605942
1560.679324540579,1558.2659202229534,1572.4877303334367,2048,iGPU,18.42189832826378,18.275119704201217,18.813685508001164,610.622524,600.119001,611.4014599999998,24.565094490356536,24.533837957858978,25.002701786304478,0.9741133061953196,1312.2490750000002,1302.4683470000002,1314.284607,34.765896216042435,34.28695672749047,34.90655161464521,0.10636227074584059,Llama 3.2,False,52.48689,51.409315,55.5279295,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,12.192807222973274,12.173952501741823,12.285060393229974,FP16,NPU,15.841734325509437,15.760705242154641,16.092866106644045,2890.172830784942,2887.981820885866,2893.150201678689,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0,39.0188285,38.6505935,39.2626815,42.16395955,40.912344225,42.25459372500001,703.072141,702.349346,703.605942
1751.1104518795883,1749.6682878402585,1771.2671377257325,4096,iGPU,20.1610555627554,19.914657671449696,20.52498099053282,629.9125320000005,629.3807605000004,637.7936290000004,23.812829937474554,23.522170856323314,23.832966702447706,1.0,2339.0871750000006,2312.7683080000006,2341.0167580000007,72.45499675437996,72.0342799550997,72.83194131203624,0.0,Llama 3.2,False,60.345018,60.0690785,63.59227800000001,0.0,False,measured,llama32_1b,Llama 3.2 1B,6.840275202654642,6.83464174937601,6.9190122567411425,FP16,iGPU,51.94530337567546,51.755696855872586,52.496566841306276,2387.117089941522,2383.689314159418,2436.8736578563226,3,gpu_full,Whole iGPU,1.0,39.9686285,39.96859825,40.370734,43.72544909999999,43.60656337499999,43.8626747,1709.174643,1674.974679,1711.6359975
1687.4767416287807,1686.4910919182844,1699.797683780076,4096,NPU,16.55423022145115,16.41923236622673,16.723666444888632,720.9569350000002,717.0761485000002,736.2699080000002,20.805680993969492,20.381779865615734,20.918893179896052,0.963660938587566,2427.292714,2409.8251550000004,2428.7121460000003,68.45919300439584,68.34436544553681,69.03062676639205,0.05514876722070339,Llama 3.2,False,116.282667,113.9857415,132.1389845,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,6.591706021987425,6.587855827805798,6.639834702265922,FP16,iGPU,51.94530337567546,51.755696855872586,52.496566841306276,2387.117089941522,2383.689314159418,2436.8736578563226,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,1.0,42.9531705,42.88008375,43.00171325,44.112806049999996,43.938638499999996,44.12715502499999,1709.174643,1674.974679,1711.6359975
